,business,date,sales
0,Book stores,1992-01-01,790
1,Book stores,1992-02-01,539
2,Book stores,1992-03-01,535
3,Book stores,1992-04-01,523
4,Book stores,1992-05-01,552
5,Book stores,1992-06-01,589
6,Book stores,1992-07-01,592
7,Book stores,1992-08-01,894
8,Book stores,1992-09-01,861
9,Book stores,1992-10-01,645
10,Book stores,1992-11-01,642
11,Book stores,1992-12-01,1165
12,Book stores,1993-01-01,998
13,Book stores,1993-02-01,568
14,Book stores,1993-03-01,602
15,Book stores,1993-04-01,583
16,Book stores,1993-05-01,612
17,Book stores,1993-06-01,618
18,Book stores,1993-07-01,607
19,Book stores,1993-08-01,983
20,Book stores,1993-09-01,903
21,Book stores,1993-10-01,669
22,Book stores,1993-11-01,692
23,Book stores,1993-12-01,1273
24,Book stores,1994-01-01,1053
25,Book stores,1994-02-01,635
26,Book stores,1994-03-01,634
27,Book stores,1994-04-01,610
28,Book stores,1994-05-01,684
29,Book stores,1994-06-01,724
30,Book stores,1994-07-01,678
31,Book stores,1994-08-01,1154
32,Book stores,1994-09-01,1022
33,Book stores,1994-10-01,732
34,Book stores,1994-11-01,772
35,Book stores,1994-12-01,1409
36,Book stores,1995-01-01,1308
37,Book stores,1995-02-01,718
38,Book stores,1995-03-01,695
39,Book stores,1995-04-01,688
40,Book stores,1995-05-01,785
41,Book stores,1995-06-01,808
42,Book stores,1995-07-01,782
43,Book stores,1995-08-01,1248
44,Book stores,1995-09-01,1102
45,Book stores,1995-10-01,746
46,Book stores,1995-11-01,850
47,Book stores,1995-12-01,1466
48,Book stores,1996-01-01,1373
49,Book stores,1996-02-01,757
50,Book stores,1996-03-01,743
51,Book stores,1996-04-01,750
52,Book stores,1996-05-01,853
53,Book stores,1996-06-01,838
54,Book stores,1996-07-01,786
55,Book stores,1996-08-01,1359
56,Book stores,1996-09-01,1040
57,Book stores,1996-10-01,899
58,Book stores,1996-11-01,908
59,Book stores,1996-12-01,1599
60,Book stores,1997-01-01,1558
61,Book stores,1997-02-01,825
62,Book stores,1997-03-01,813
63,Book stores,1997-04-01,806
64,Book stores,1997-05-01,894
65,Book stores,1997-06-01,875
66,Book stores,1997-07-01,830
67,Book stores,1997-08-01,1301
68,Book stores,1997-09-01,1158
69,Book stores,1997-10-01,923
70,Book stores,1997-11-01,994
71,Book stores,1997-12-01,1765
72,Book stores,1998-01-01,1463
73,Book stores,1998-02-01,921
74,Book stores,1998-03-01,882
75,Book stores,1998-04-01,854
76,Book stores,1998-05-01,919
77,Book stores,1998-06-01,939
78,Book stores,1998-07-01,881
79,Book stores,1998-08-01,1385
80,Book stores,1998-09-01,1246
81,Book stores,1998-10-01,953
82,Book stores,1998-11-01,990
83,Book stores,1998-12-01,1849
84,Book stores,1999-01-01,1514
85,Book stores,1999-02-01,990
86,Book stores,1999-03-01,976
87,Book stores,1999-04-01,933
88,Book stores,1999-05-01,976
89,Book stores,1999-06-01,1031
90,Book stores,1999-07-01,1023
91,Book stores,1999-08-01,1386
92,Book stores,1999-09-01,1240
93,Book stores,1999-10-01,1019
94,Book stores,1999-11-01,1088
95,Book stores,1999-12-01,1996
96,Book stores,2000-01-01,1505
97,Book stores,2000-02-01,1090
98,Book stores,2000-03-01,1031
99,Book stores,2000-04-01,975
100,Book stores,2000-05-01,1104
101,Book stores,2000-06-01,1122
102,Book stores,2000-07-01,1048
103,Book stores,2000-08-01,1594
104,Book stores,2000-09-01,1406
105,Book stores,2000-10-01,1014
106,Book stores,2000-11-01,1098
107,Book stores,2000-12-01,1892
108,Book stores,2001-01-01,1585
109,Book stores,2001-02-01,1070
110,Book stores,2001-03-01,1062
111,Book stores,2001-04-01,934
112,Book stores,2001-05-01,1070
113,Book stores,2001-06-01,1077
114,Book stores,2001-07-01,1005
115,Book stores,2001-08-01,1820
116,Book stores,2001-09-01,1406
117,Book stores,2001-10-01,1015
118,Book stores,2001-11-01,1098
119,Book stores,2001-12-01,1956
120,Book stores,2002-01-01,1971
121,Book stores,2002-02-01,1000
122,Book stores,2002-03-01,1008
123,Book stores,2002-04-01,966
124,Book stores,2002-05-01,1116
125,Book stores,2002-06-01,1045
126,Book stores,2002-07-01,1038
127,Book stores,2002-08-01,1797
128,Book stores,2002-09-01,1490
129,Book stores,2002-10-01,997
130,Book stores,2002-11-01,1059
131,Book stores,2002-12-01,1950
132,Book stores,2003-01-01,2056
133,Book stores,2003-02-01,991
134,Book stores,2003-03-01,925
135,Book stores,2003-04-01,975
