Frequency,CPIHOSNS
1967-01-01,30.5
1967-02-01,30.5
1967-03-01,30.5
1967-04-01,30.6
1967-05-01,30.7
1967-06-01,30.7
1967-07-01,30.8
1967-08-01,30.9
1967-09-01,30.9
1967-10-01,31.0
1967-11-01,31.1
1967-12-01,31.2
1968-01-01,31.3
1968-02-01,31.5
1968-03-01,31.5
1968-04-01,31.6
1968-05-01,31.7
1968-06-01,31.9
1968-07-01,32.1
1968-08-01,32.3
1968-09-01,32.4
1968-10-01,32.5
1968-11-01,32.7
1968-12-01,32.9
1969-01-01,32.9
1969-02-01,33.1
1969-03-01,33.4
1969-04-01,33.6
1969-05-01,33.8
1969-06-01,33.9
1969-07-01,34.1
1969-08-01,34.3
1969-09-01,34.5
1969-10-01,34.6
1969-11-01,34.8
1969-12-01,35.0
1970-01-01,35.1
1970-02-01,35.4
1970-03-01,35.8
1970-04-01,36.0
1970-05-01,36.2
1970-06-01,36.3
1970-07-01,36.5
1970-08-01,36.7
1970-09-01,36.9
1970-10-01,37.1
1970-11-01,37.3
1970-12-01,37.5
1971-01-01,37.5
1971-02-01,37.5
1971-03-01,37.4
1971-04-01,37.4
1971-05-01,37.7
1971-06-01,37.9
1971-07-01,38.1
1971-08-01,38.2
1971-09-01,38.3
1971-10-01,38.5
1971-11-01,38.6
1971-12-01,38.7
1972-01-01,38.9
1972-02-01,39.0
1972-03-01,39.1
1972-04-01,39.2
1972-05-01,39.3
1972-06-01,39.4
1972-07-01,39.5
1972-08-01,39.7
1972-09-01,39.8
1972-10-01,39.8
1972-11-01,39.9
1972-12-01,40.1
1973-01-01,40.1
1973-02-01,40.3
1973-03-01,40.4
1973-04-01,40.5
1973-05-01,40.7
1973-06-01,40.8
1973-07-01,40.9
1973-08-01,41.2
1973-09-01,41.6
1973-10-01,42.1
1973-11-01,42.5
1973-12-01,42.8
1974-01-01,43.3
1974-02-01,43.7
1974-03-01,44.1
1974-04-01,44.5
1974-05-01,44.9
1974-06-01,45.4
1974-07-01,45.9
1974-08-01,46.5
1974-09-01,47.1
1974-10-01,47.6
1974-11-01,48.1
1974-12-01,48.6
1975-01-01,49.0
1975-02-01,49.5
1975-03-01,49.7
1975-04-01,50.0
1975-05-01,50.2
1975-06-01,50.5
1975-07-01,50.7
1975-08-01,50.9
1975-09-01,51.3
1975-10-01,51.5
